Timestamp,Price,Volume,Side
2025-05-20 09:30:00.299,18123.0,3,Buy
2025-05-20 09:30:00.409,18123.0,2,Buy
2025-05-20 09:30:01.423,18122.75,1,Buy
2025-05-20 09:30:01.451,18122.75,3,Sell
2025-05-20 09:30:01.501,18123.0,3,Sell
2025-05-20 09:30:01.584,18122.75,2,Buy
2025-05-20 09:30:01.620,18122.5,2,Buy
2025-05-20 09:30:02.790,18122.5,1,Buy
2025-05-20 09:30:03.314,18122.75,2,Buy
2025-05-20 09:30:03.373,18122.5,2,Buy
2025-05-20 09:30:03.417,18122.5,1,Sell
2025-05-20 09:30:04.376,18122.75,3,Sell
2025-05-20 09:30:05.099,18123.0,1,Buy
2025-05-20 09:30:05.706,18123.25,1,Sell
2025-05-20 09:30:05.938,18123.25,2,Buy
2025-05-20 09:30:06.302,18123.0,2,Sell
2025-05-20 09:30:06.464,18123.0,2,Buy
2025-05-20 09:30:07.846,18123.25,2,Sell
2025-05-20 09:30:08.927,18123.25,2,Sell
2025-05-20 09:30:08.927,18123.25,2,Sell
2025-05-20 09:30:09.605,18123.25,2,Buy
2025-05-20 09:30:09.684,18123.0,1,Buy
2025-05-20 09:30:10.202,18123.0,2,Sell
2025-05-20 09:30:10.765,18123.0,3,Buy
2025-05-20 09:30:10.951,18123.0,1,Sell
2025-05-20 09:30:11.967,18122.75,3,Sell
2025-05-20 09:30:12.195,18122.75,3,Buy
2025-05-20 09:30:12.670,18122.75,1,Buy
2025-05-20 09:30:12.765,18123.0,1,Buy
2025-05-20 09:30:13.672,18123.0,3,Buy
2025-05-20 09:30:15.380,18123.0,1,Buy
2025-05-20 09:30:15.718,18122.75,3,Buy
2025-05-20 09:30:16.493,18122.75,3,Buy
2025-05-20 09:30:16.620,18123.0,1,Sell
2025-05-20 09:30:17.256,18123.0,1,Buy
2025-05-20 09:30:17.639,18122.75,1,Buy
2025-05-20 09:30:18.191,18122.5,1,Sell
2025-05-20 09:30:21.220,18122.75,2,Buy
2025-05-20 09:30:21.577,18122.5,2,Buy
2025-05-20 09:30:22.413,18122.75,3,Sell
2025-05-20 09:30:22.530,18122.5,3,Buy
2025-05-20 09:30:23.138,18122.75,3,Buy
2025-05-20 09:30:23.281,18122.75,3,Buy
2025-05-20 09:30:23.724,18123.0,2,Buy
2025-05-20 09:30:24.416,18122.75,3,Buy
2025-05-20 09:30:25.741,18122.75,3,Buy
2025-05-20 09:30:25.776,18122.75,2,Buy
2025-05-20 09:30:25.991,18122.5,1,Buy
2025-05-20 09:30:26.372,18122.75,2,Sell
2025-05-20 09:30:26.513,18122.75,3,Buy
2025-05-20 09:30:26.549,18123.0,1,Sell
2025-05-20 09:30:27.222,18123.25,3,Sell
2025-05-20 09:30:28.852,18123.25,3,Sell
2025-05-20 09:30:29.109,18123.25,2,Buy
2025-05-20 09:30:29.383,18123.25,2,Buy
2025-05-20 09:30:31.466,18123.5,3,Sell
2025-05-20 09:30:32.240,18123.75,3,Sell
2025-05-20 09:30:32.287,18123.75,2,Sell
2025-05-20 09:30:32.786,18123.5,3,Buy
2025-05-20 09:30:32.873,18123.75,2,Buy
2025-05-20 09:30:33.709,18123.75,1,Buy
2025-05-20 09:30:33.987,18123.5,2,Sell
2025-05-20 09:30:34.080,18123.5,2,Buy
2025-05-20 09:30:34.290,18123.25,1,Sell
2025-05-20 09:30:35.678,18123.25,1,Sell
2025-05-20 09:30:35.741,18123.5,1,Sell
2025-05-20 09:30:35.826,18123.25,3,Sell
2025-05-20 09:30:36.783,18123.0,1,Buy
2025-05-20 09:30:37.519,18122.75,3,Buy
2025-05-20 09:30:37.578,18123.0,2,Sell
2025-05-20 09:30:39.006,18123.0,3,Buy
2025-05-20 09:30:39.136,18122.75,2,Buy
2025-05-20 09:30:39.602,18122.75,3,Sell
2025-05-20 09:30:40.027,18122.5,1,Buy
2025-05-20 09:30:40.161,18122.75,2,Buy
2025-05-20 09:30:40.231,18123.0,3,Sell
2025-05-20 09:30:41.459,18122.75,3,Buy
2025-05-20 09:30:41.721,18123.0,2,Sell
2025-05-20 09:30:42.389,18123.25,1,Sell
2025-05-20 09:30:42.800,18123.0,1,Sell
2025-05-20 09:30:44.220,18123.25,1,Buy
2025-05-20 09:30:44.703,18123.25,3,Buy
2025-05-20 09:30:45.436,18123.5,2,Sell
2025-05-20 09:30:46.679,18123.75,1,Buy
2025-05-20 09:30:47.591,18123.5,1,Buy
2025-05-20 09:30:47.658,18123.75,3,Buy
2025-05-20 09:30:49.092,18123.5,1,Sell
2025-05-20 09:30:49.097,18123.25,2,Buy
2025-05-20 09:30:49.381,18123.0,3,Sell
2025-05-20 09:30:49.700,18123.0,1,Sell
2025-05-20 09:30:52.069,18122.75,3,Buy
2025-05-20 09:30:54.922,18122.75,1,Sell
2025-05-20 09:30:55.150,18123.0,3,Buy
2025-05-20 09:30:55.727,18122.75,1,Buy
2025-05-20 09:30:55.931,18122.5,3,Sell
2025-05-20 09:30:56.552,18122.5,2,Sell
2025-05-20 09:30:57.021,18122.75,2,Sell
2025-05-20 09:30:57.356,18122.75,2,Buy
2025-05-20 09:30:58.893,18123.0,3,Sell
2025-05-20 09:30:59.970,18122.75,1,Sell
